*Fecha de Pago,*Forma de Pago,*Monto,*Moneda,*Tipo de cambio del dia del pago para moneda del pago,Tipo de cambio del dia del pago para moneda del documento relacionado,*Numero de Operacion,Banco Ordenante,Banco Beneficiario,*Numero de Parcialidad,*Serie de la Factura,*Folio de la Factura,Importe Pagado,Importe Saldo Anterior,Importe Saldo Insoluto
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79569,165.47,165.47,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79570,191.9,191.9,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79571,418.39,418.39,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79572,435.08,435.08,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79573,480.19,480.19,0
23/11/2020,17,1201286.89,USD,20.1172,21.788866,,,,1,FAC,79574,154.23,154.23,0
23/11/2020,17,1201286.89,USD,20.1172,20.921815,,,,1,FAC,79575,458.67,458.67,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79582,819.43,819.43,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79584,597.4,597.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79585,308.81,308.81,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79586,615.43,615.43,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79587,106.13,106.13,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79588,1154.67,1154.67,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79589,542.57,542.57,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79590,283.58,283.58,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79591,326.74,326.74,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79593,413.01,413.01,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79594,417.4,417.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79595,1271.64,1271.64,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79596,141.72,141.72,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79597,612.81,612.81,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79598,3265.24,3265.24,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79599,597.4,597.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79600,2269.01,2269.01,0
23/11/2020,17,1201286.89,USD,20.1172,20.921815,,,,1,FAC,79601,657.86,657.86,0
23/11/2020,17,1201286.89,USD,20.1172,21.788866,,,,1,FAC,79607,1745,1745,0
