*FechaPago,*Moneda,*Tipo de Cambio,*Total del Pago,*Referencia Bancaria,*Referencia ERP,*Cuenta Bancaria,*UUID
23/03/2024,MXN,1,19228.88,REFERENCIAPAGO1,9821,MXN,D732BD16-58AB-4281-8568-D35E32ACFC44
23/03/2024,MXN,1,27775.97,REFERENCIAPAGO2,1212,MXN,0F06D343-62CC-4763-A2A7-07874B0FBF7D
